name,specialization,experience,rating,location
Dr. Vivek Patel,Orthopedic,25,4.6,Hyderabad
Dr. Vikram Deshmukh,Dermatologist,17,4.1,Ahmedabad
Dr. Kabir Malhotra,Psychiatrist,10,4.6,Mumbai
Dr. Kabir Mehra,Ophthalmologist,6,3.8,Mumbai
Dr. Kabir Rao,Ophthalmologist,21,4.9,Mumbai
Dr. Ishaan Nair,Psychiatrist,6,4.5,Jaipur
Dr. Amit Reddy,Orthopedic,24,4.3,Chennai
Dr. Anjali Nair,Psychiatrist,18,4.1,Jaipur
Dr. Sonia Malhotra,Cardiologist,17,4.1,Lucknow
Dr. Sara Mehra,Neurologist,20,4.1,Ahmedabad
Dr. Sameer Khan,Neurologist,6,4.5,Pune
Dr. Arjun Chopra,Psychiatrist,11,4.0,Hyderabad
Dr. Aditi Bose,Gastroenterologist,17,4.0,Delhi
Dr. Aryan Nair,Psychiatrist,17,4.1,Delhi
Dr. Aditi Chatterjee,Psychiatrist,19,3.7,Jaipur
Dr. Priya Chopra,Dermatologist,7,3.5,Chennai
Dr. Ishaan Khan,Pediatrician,23,5.0,Lucknow
Dr. Kabir Sharma,Psychiatrist,13,3.7,Hyderabad
Dr. Sonia Chatterjee,Pediatrician,22,4.2,Lucknow
Dr. Anjali Chopra,Ophthalmologist,9,4.6,Ahmedabad
Dr. Sneha Bose,Pediatrician,23,4.4,Hyderabad
Dr. Rahul Deshmukh,Orthopedic,8,4.8,Hyderabad
Dr. Arjun Singh,Ophthalmologist,9,4.7,Ahmedabad
Dr. Sonia Kulkarni,Orthopedic,12,4.2,Chennai
Dr. Rohan Singh,Dermatologist,14,4.1,Hyderabad
Dr. Meera Sharma,Orthopedic,20,4.9,Delhi
Dr. Sonia Nair,Ophthalmologist,10,4.7,Ahmedabad
Dr. Vikram Sharma,Pediatrician,3,4.1,Ahmedabad
Dr. Amit Malhotra,Orthopedic,6,4.8,Lucknow
Dr. Ishaan Kulkarni,Neurologist,19,4.5,Mumbai
Dr. Ishaan Verma,Cardiologist,25,4.2,Lucknow
Dr. Sara Rao,Ophthalmologist,5,4.6,Delhi
Dr. Amit Mehra,Gastroenterologist,21,3.8,Hyderabad
Dr. Aditi Chopra,Pediatrician,25,3.9,Pune
Dr. Amit Khan,Cardiologist,20,3.8,Bangalore
Dr. Meera Nair,Dermatologist,20,4.1,Hyderabad
Dr. Kabir Deshmukh,Neurologist,18,4.2,Bangalore
Dr. Riya Reddy,General Physician,5,4.4,Ahmedabad
Dr. Kabir Malhotra,Pediatrician,20,4.2,Ahmedabad
Dr. Aditi Chopra,Orthopedic,10,3.8,Mumbai
Dr. Kavya Kulkarni,General Physician,25,3.6,Ahmedabad
Dr. Aryan Mehra,General Physician,4,4.2,Pune
Dr. Aryan Khan,Ophthalmologist,20,3.6,Pune
Dr. Rohan Nair,Neurologist,15,4.9,Kolkata
Dr. Sonia Mehra,Ophthalmologist,6,4.0,Chennai
Dr. Anjali Khan,Ophthalmologist,22,4.0,Ahmedabad
Dr. Sara Sharma,Ophthalmologist,17,3.8,Jaipur
Dr. Amit Deshmukh,General Physician,5,4.3,Ahmedabad
Dr. Sameer Mehra,Cardiologist,6,4.6,Ahmedabad
Dr. Sara Nair,Cardiologist,20,3.6,Ahmedabad
Dr. Priya Singh,Ophthalmologist,13,3.6,Bangalore
Dr. Kabir Khan,Cardiologist,19,3.7,Ahmedabad
Dr. Yash Joshi,Psychiatrist,5,5.0,Jaipur
Dr. Vikram Malhotra,Ophthalmologist,7,3.6,Hyderabad
Dr. Riya Bose,Dermatologist,4,4.2,Chennai
Dr. Riya Sharma,Orthopedic,18,4.9,Bangalore
Dr. Rahul Joshi,Orthopedic,13,4.0,Jaipur
Dr. Kavya Patel,Ophthalmologist,13,3.9,Kolkata
Dr. Rohan Gupta,Orthopedic,17,4.6,Mumbai
Dr. Kabir Sharma,Orthopedic,3,4.7,Bangalore
Dr. Sonia Verma,Dermatologist,13,4.9,Ahmedabad
Dr. Rahul Chatterjee,General Physician,18,4.5,Pune
Dr. Vikas 0,ENT Specialist,6,3.5,Bangalore
Dr. Ramesh 1,ENT Specialist,18,4.6,Pune
Dr. Ramesh 2,ENT Specialist,23,3.8,Mumbai
Dr. Suresh 3,ENT Specialist,14,4.2,Delhi
Dr. Ramesh 4,ENT Specialist,3,4.6,Pune
Dr. Kiran 5,ENT Specialist,14,3.8,Delhi
Dr. Pooja 6,ENT Specialist,22,4.1,Delhi
Dr. Vikas 7,ENT Specialist,16,4.4,Chennai
Dr. Suresh 8,ENT Specialist,22,4.3,Delhi
Dr. Rohit 9,ENT Specialist,22,4.6,Mumbai
Dr. Kiran 0,Dentist,10,4.0,Delhi
Dr. Pooja 1,Dentist,8,4.9,Chennai
Dr. Ramesh 2,Dentist,17,3.9,Delhi
Dr. Manisha 3,Dentist,23,4.7,Delhi
Dr. Kiran 4,Dentist,17,3.7,Mumbai
Dr. Suresh 5,Dentist,21,3.9,Delhi
Dr. Manisha 6,Dentist,23,4.2,Mumbai
Dr. Kiran 7,Dentist,9,4.1,Pune
Dr. Swati 8,Dentist,11,3.8,Pune
Dr. Rohit 9,Dentist,4,4.1,Pune
Dr. Manisha 0,Pulmonologist,16,4.8,Bangalore
Dr. Vikas 1,Pulmonologist,6,4.5,Chennai
Dr. Ramesh 2,Pulmonologist,20,4.2,Bangalore
Dr. Suresh 3,Pulmonologist,13,3.8,Bangalore
Dr. Kiran 4,Pulmonologist,3,4.8,Delhi
Dr. Ramesh 5,Pulmonologist,25,4.2,Chennai
Dr. Rohit 6,Pulmonologist,16,3.6,Bangalore
Dr. Ramesh 7,Pulmonologist,6,3.5,Mumbai
Dr. Manisha 8,Pulmonologist,4,4.3,Bangalore
Dr. Vikas 9,Pulmonologist,16,4.0,Delhi
Dr. Sameer Khan,Oncologist,15,4.8,Mumbai
Dr. Anjali Verma,Oncologist,12,4.5,Delhi
Dr. Vikram Singh,Oncologist,18,4.7,Bangalore
Dr. Rohan Gupta,Endocrinologist,10,4.6,Pune
Dr. Priya Reddy,Endocrinologist,14,4.9,Hyderabad
Dr. Amit Chatterjee,Endocrinologist,11,4.4,Chennai
Dr. Kabir Bose,Urologist,9,4.3,Delhi
Dr. Sneha Malhotra,Urologist,13,4.5,Mumbai
Dr. Ishaan Rao,Urologist,7,4.2,Bangalore
Dr. Meera Deshmukh,Gynecologist,16,4.8,Pune
Dr. Riya Chopra,Gynecologist,11,4.7,Delhi
Dr. Aditi Nair,Gynecologist,14,4.6,Hyderabad
Dr. Sanjay Gupta,Oncologist,22,4.9,Mumbai
Dr. Anita Desai,Oncologist,18,4.8,Delhi
Dr. Vikram Seth,Oncologist,15,4.7,Bangalore
